NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,435.5951276495106
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,437.95581518868596
b38a03232f43b11c9d0788abaf060f7366053b6d,513.9294984229042
70b682d9a3636be23f6120fa9d6b164eb3c6002d,0.4355408402228218
715494628a50142ce8cb17191cfe6d0f3cae0934,483.3275865663062
e656d6bad65c93fb2880f1eba5037008c8e75774,472.1460102784527
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,543.1679778274256
11539e86171bf07d3a36f09377d7f54ebcc8406a,442.3463886226152
043c544a2104aa8a9849f1a703a08d37a2f16839,493.6585213629115
76ba050e64ad100b856f0eaabd8f539d5c7dd185,448.85266488843223
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,0.4355408402228218
db4da599aab5bb08dce27094a35fd3e36cd0abce,0.4355408402228218
940aede382ccb332fab15d413217695ec44ca765,447.39268558580784
9ad714b116da76d878dd399d187fccc2dd13dd63,555.261786127854
dd34464a4d780b12a089347ad580418ac57a3055,510.8023635344822
f837a4cb05a5fd59d20138182f5e8c721eadd584,469.50490769598656
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,0.4355408402228218
ca8477c8493b09f34d17bb287f9bacf2dd744c32,0.4355408402228218
8b0c675d7fde14953668269d378c588f0df0498b,0.4355408402228218
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,421.1558354402976
3d203727f27abd83b71732d88d8cb1cc099f363b,446.61164320069406
d30d31c8ff45094e9a992c63d4a6f68b245a341a,2.7277107327732706
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,0.4355408402228218
cbc301183dec912f3513ca766bf03dd565f3a38f,483.3506810832178
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,667.8343067774252
11282da1ee78c8db45a041db4c744e33df489df0,436.6341327261732
03c67f683a415c2ea09b582248bd4cb08528c19d,596.0320604468893
046e844fb06a07ba30b41521f0065a8d9c6e5024,412.9461057892207
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,443.70776040805765
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,0.4355408402228218
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,0.4355408402228218
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,423.3600828534554
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,542.5796830006783
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,484.1189681549559
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,551.8465057013659
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,473.95846454788006
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,451.2893621184869
59bfa081e020013410d9f60f91813964ba749bb2,431.3486930437799
f5e069ee3bc95998464e8ff5da048b7f999921ed,460.10192444596635
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,627.4982415598672
